dot_x,dot_y,appearance_x,appearance_y,appearance_error,geometric_x,geometric_y,geometric_error
1572,364,1593,268,98.3,1558,513,149.7
1369,717,1357,643,75.0,1142,768,232.7
573,1044,598,988,61.3,834,843,329.4
545,552,540,586,34.4,312,736,296.9
1482,870,1501,813,60.1,1450,688,184.8
977,1202,1062,1059,166.4,1113,1009,236.1
297,127,527,299,287.2,217,663,541.9
765,906,792,921,30.9,1022,675,345.6
1973,1071,1782,1013,199.6,1309,879,691.2
351,1058,481,1011,138.2,713,898,395.8
235,857,338,845,103.7,178,774,100.7
1268,797,1211,839,70.8,1246,806,23.8
815,958,,,N/A,,,N/A
1684,332,1753,430,119.9,1564,473,185.2
323,473,344,519,50.6,772,671,490.7
1326,1226,1322,1270,44.2,1248,1142,114.6
1262,155,1201,210,82.1,1254,483,328.1
675,1160,638,1260,106.6,1011,844,461.3
1778,251,1882,295,112.9,1466,446,367.9
311,1114,307,1219,105.1,338,762,353.0
