ms,x_click,y_click,flip,matched,card_id_click,grid_position_click,x_gaze,y_gaze,card_id_gaze,grid_position_gaze
2141,1841,517,1,0,1,14,1948,801,-1,-1
4105,1841,1039,2,1,1,24,1593,973,-1,-1
4988,1332,517,1,0,3,13,1464,716,3,13
7016,1332,1039,2,0,4,23,1110,1163,4,23
8021,823,1039,1,0,2,22,815,1170,2,22
10190,823,517,2,0,4,12,1309,842,4,23
11139,1332,1039,1,0,4,23,1366,1111,4,23
13128,823,517,2,1,4,12,454,826,3,21
13892,314,517,1,0,2,11,392,804,-1,-1
16148,823,1039,2,1,2,22,464,1205,3,21
16461,314,1039,1,0,3,21,469,1181,3,21
18806,1332,517,2,1,3,13,1303,684,3,13
