session_id,game_id,timestamp_ms,phase,event_type,gaze_x,gaze_y,click_x,click_y,element_type,card_row,card_col,card_id,card_image_name,matched,game_time_ms
20260119_223829,2,81680024,memorization,phase_start,,,,,,,,,,,0
20260119_223829,2,81680093,memorization,gaze_sample,486,544,,,card,1,2,1,C:\Users\domin\OneDrive\Documents\Studia\Inzynierka\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\hard\hard (1).jpg,,0
20260119_223829,2,81680160,memorization,gaze_sample,608,525,,,card,1,2,1,C:\Users\domin\OneDrive\Documents\Studia\Inzynierka\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\hard\hard (1).jpg,,0
20260119_223829,2,81680209,memorization,gaze_sample,773,521,,,grid_frame,,,,,,0
20260119_223829,2,81680271,memorization,gaze_sample,935,544,,,card,1,3,1,C:\Users\domin\OneDrive\Documents\Studia\Inzynierka\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\hard\hard (1).jpg,,0
20260119_223829,2,81680347,memorization,gaze_sample,1092,573,,,card,1,3,1,C:\Users\domin\OneDrive\Documents\Studia\Inzynierka\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\hard\hard (1).jpg,,0
20260119_223829,2,81680409,memorization,gaze_sample,1106,585,,,grid_frame,,,,,,0
20260119_223829,2,81680473,memorization,gaze_sample,1157,594,,,grid_frame,,,,,,0
20260119_223829,2,81680536,memorization,gaze_sample,1158,595,,,grid_frame,,,,,,0
20260119_223829,2,81680586,memorization,gaze_sample,1091,573,,,card,1,3,1,C:\Users\domin\OneDrive\Documents\Studia\Inzynierka\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\hard\hard (1).jpg,,0
20260119_223829,2,81680653,memorization,gaze_sample,1027,565,,,card,1,3,1,C:\Users\domin\OneDrive\Documents\Studia\Inzynierka\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\hard\hard (1).jpg,,0
20260119_223829,2,81680713,memorization,gaze_sample,1066,488,,,card,1,3,1,C:\Users\domin\OneDrive\Documents\Studia\Inzynierka\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\hard\hard (1).jpg,,0
20260119_223829,2,81680777,memorization,gaze_sample,985,485,,,card,1,3,1,C:\Users\domin\OneDrive\Documents\Studia\Inzynierka\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\hard\hard (1).jpg,,0
20260119_223829,2,81680846,memorization,gaze_sample,898,476,,,card,1,3,1,C:\Users\domin\OneDrive\Documents\Studia\Inzynierka\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\hard\hard (1).jpg,,0
20260119_223829,2,81680908,memorization,gaze_sample,896,475,,,card,1,3,1,C:\Users\domin\OneDrive\Documents\Studia\Inzynierka\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\hard\hard (1).jpg,,0
20260119_223829,2,81680968,memorization,gaze_sample,894,475,,,card,1,3,1,C:\Users\domin\OneDrive\Documents\Studia\Inzynierka\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\hard\hard (1).jpg,,0
20260119_223829,2,81681032,memorization,gaze_sample,775,539,,,grid_frame,,,,,,0
20260119_223829,2,81681093,memorization,gaze_sample,787,529,,,grid_frame,,,,,,0
20260119_223829,2,81681146,memorization,gaze_sample,791,530,,,grid_frame,,,,,,0
20260119_223829,2,81681212,memorization,gaze_sample,850,526,,,card,1,3,1,C:\Users\domin\OneDrive\Documents\Studia\Inzynierka\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\hard\hard (1).jpg,,0
20260119_223829,2,81681271,memorization,gaze_sample,918,524,,,card,1,3,1,C:\Users\domin\OneDrive\Documents\Studia\Inzynierka\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\hard\hard (1).jpg,,0
20260119_223829,2,81681338,memorization,gaze_sample,974,514,,,card,1,3,1,C:\Users\domin\OneDrive\Documents\Studia\Inzynierka\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\hard\hard (1).jpg,,0
20260119_223829,2,81681397,memorization,gaze_sample,1029,533,,,card,1,3,1,C:\Users\domin\OneDrive\Documents\Studia\Inzynierka\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\hard\hard (1).jpg,,0
20260119_223829,2,81681464,memorization,gaze_sample,1102,522,,,card,1,3,1,C:\Users\domin\OneDrive\Documents\Studia\Inzynierka\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\hard\hard (1).jpg,,0
