ms,x,y,flip,matched,card_id
1964,375,401,1,0,4
3542,694,526,2,0,2
3655,733,360,1,0,6
5223,303,545,2,0,5
5309,1209,383,1,0,2
6579,1576,358,2,0,3
6795,353,412,1,0,4
8016,840,365,2,0,6
8354,807,609,1,0,2
9544,1213,631,2,0,6
9806,1154,589,1,0,6
10920,1183,366,2,0,2
11163,1137,616,1,0,6
12314,747,354,2,1,6
12483,801,618,1,0,2
13959,1196,394,2,1,2
14399,366,415,1,0,4
15758,751,845,2,0,5
16063,1205,867,1,0,3
17357,1576,851,2,0,1
17646,1580,851,1,0,1
19154,309,373,2,0,4
20051,1591,521,1,0,4
21848,327,326,2,1,4
21940,363,844,1,0,1
23737,1137,875,2,0,3
23762,782,875,1,0,5
25343,419,669,2,1,5
25567,1602,348,1,0,3
27315,1510,811,2,0,1
27866,1585,853,1,0,1
29586,426,807,2,1,1
29843,1149,821,1,0,3
33996,1582,426,2,1,3
