session_id,game_id,timestamp_ms,phase,event_type,gaze_x,gaze_y,click_x,click_y,element_type,card_row,card_col,card_id,card_image_name,matched,game_time_ms
20260119_222033,1,80513788,memorization,phase_start,,,,,,,,,,,0
20260119_222033,1,80513860,memorization,gaze_sample,1882,755,,,grid_frame,,,,,,0
20260119_222033,1,80513920,memorization,gaze_sample,1919,724,,,grid_frame,,,,,,0
20260119_222033,1,80513982,memorization,gaze_sample,1952,731,,,grid_frame,,,,,,0
20260119_222033,1,80514044,memorization,gaze_sample,1933,733,,,grid_frame,,,,,,0
20260119_222033,1,80514105,memorization,gaze_sample,1917,727,,,grid_frame,,,,,,0
20260119_222033,1,80514168,memorization,gaze_sample,1902,727,,,grid_frame,,,,,,0
20260119_222033,1,80514231,memorization,gaze_sample,1857,737,,,grid_frame,,,,,,0
20260119_222033,1,80514294,memorization,gaze_sample,1793,739,,,grid_frame,,,,,,0
20260119_222033,1,80514355,memorization,gaze_sample,1757,738,,,grid_frame,,,,,,0
20260119_222033,1,80514418,memorization,gaze_sample,1731,743,,,grid_frame,,,,,,0
20260119_222033,1,80514479,memorization,gaze_sample,1725,739,,,grid_frame,,,,,,0
20260119_222033,1,80514541,memorization,gaze_sample,1726,722,,,grid_frame,,,,,,0
20260119_222033,1,80514620,memorization,gaze_sample,1715,710,,,card,1,3,1,D:\main\Desktop\Inzynierka\git\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\hard\hard (1).jpg,,0
20260119_222033,1,80514680,memorization,gaze_sample,1715,710,,,card,1,3,1,D:\main\Desktop\Inzynierka\git\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\hard\hard (1).jpg,,0
20260119_222033,1,80514729,memorization,gaze_sample,1715,707,,,card,1,3,1,D:\main\Desktop\Inzynierka\git\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\hard\hard (1).jpg,,0
20260119_222033,1,80514794,memorization,gaze_sample,1686,708,,,grid_frame,,,,,,0
20260119_222033,1,80514858,memorization,gaze_sample,1664,712,,,grid_frame,,,,,,0
20260119_222033,1,80514918,memorization,gaze_sample,1657,736,,,grid_frame,,,,,,0
20260119_222033,1,80514980,memorization,gaze_sample,1632,775,,,card,2,2,1,D:\main\Desktop\Inzynierka\git\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\hard\hard (1).jpg,,0
20260119_222033,1,80515042,memorization,gaze_sample,1567,793,,,card,2,2,1,D:\main\Desktop\Inzynierka\git\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\hard\hard (1).jpg,,0
20260119_222033,1,80515106,memorization,gaze_sample,1567,793,,,card,2,2,1,D:\main\Desktop\Inzynierka\git\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\hard\hard (1).jpg,,0
20260119_222033,1,80515168,memorization,gaze_sample,1567,793,,,card,2,2,1,D:\main\Desktop\Inzynierka\git\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\hard\hard (1).jpg,,0
20260119_222033,1,80515231,memorization,gaze_sample,1567,793,,,card,2,2,1,D:\main\Desktop\Inzynierka\git\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\hard\hard (1).jpg,,0
20260119_222033,1,80515292,memorization,gaze_sample,1567,793,,,card,2,2,1,D:\main\Desktop\Inzynierka\git\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\hard\hard (1).jpg,,0
20260119_222033,1,80515361,memorization,gaze_sample,1567,793,,,card,2,2,1,D:\main\Desktop\Inzynierka\git\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\hard\hard (1).jpg,,0
20260119_222033,1,80515417,memorization,gaze_sample,1567,793,,,card,2,2,1,D:\main\Desktop\Inzynierka\git\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\hard\hard (1).jpg,,0
20260119_222033,1,80515490,memorization,gaze_sample,1567,793,,,card,2,2,1,D:\main\Desktop\Inzynierka\git\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\hard\hard (1).jpg,,0
20260119_222033,1,80515555,memorization,gaze_sample,1567,793,,,card,2,2,1,D:\main\Desktop\Inzynierka\git\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\hard\hard (1).jpg,,0
20260119_222033,1,80515610,memorization,gaze_sample,1567,793,,,card,2,2,1,D:\main\Desktop\Inzynierka\git\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\hard\hard (1).jpg,,0
20260119_222033,1,80515668,memorization,gaze_sample,1567,793,,,card,2,2,1,D:\main\Desktop\Inzynierka\git\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\hard\hard (1).jpg,,0
20260119_222033,1,80515732,memorization,gaze_sample,1567,793,,,card,2,2,1,D:\main\Desktop\Inzynierka\git\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\hard\hard (1).jpg,,0
20260119_222033,1,80515801,memorization,gaze_sample,1689,794,,,grid_frame,,,,,,0
20260119_222033,1,80515860,memorization,gaze_sample,1794,790,,,card,2,3,6,D:\main\Desktop\Inzynierka\git\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\hard\hard (6).jpg,,0
20260119_222033,1,80515918,memorization,gaze_sample,1900,785,,,card,2,3,6,D:\main\Desktop\Inzynierka\git\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\hard\hard (6).jpg,,0
20260119_222033,1,80515988,memorization,gaze_sample,2021,751,,,grid_frame,,,,,,0
20260119_222033,1,80516049,memorization,gaze_sample,2085,702,,,grid_frame,,,,,,0
20260119_222033,1,80516111,memorization,gaze_sample,2085,702,,,grid_frame,,,,,,0
20260119_222033,1,80516174,memorization,gaze_sample,2085,702,,,grid_frame,,,,,,0
20260119_222033,1,80516242,memorization,gaze_sample,2085,702,,,grid_frame,,,,,,0
20260119_222033,1,80516292,memorization,gaze_sample,2085,702,,,grid_frame,,,,,,0
20260119_222033,1,80516355,memorization,gaze_sample,2085,702,,,grid_frame,,,,,,0
20260119_222033,1,80516420,memorization,gaze_sample,1987,670,,,card,1,3,1,D:\main\Desktop\Inzynierka\git\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\hard\hard (1).jpg,,0
20260119_222033,1,80516483,memorization,gaze_sample,1890,620,,,card,1,3,1,D:\main\Desktop\Inzynierka\git\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\hard\hard (1).jpg,,0
20260119_222033,1,80516546,memorization,gaze_sample,1786,568,,,card,1,3,1,D:\main\Desktop\Inzynierka\git\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\hard\hard (1).jpg,,0
20260119_222033,1,80516606,memorization,gaze_sample,1687,526,,,grid_frame,,,,,,0
20260119_222033,1,80516669,memorization,gaze_sample,1687,526,,,grid_frame,,,,,,0
20260119_222033,1,80516731,memorization,gaze_sample,1687,526,,,grid_frame,,,,,,0
20260119_222033,1,80516793,memorization,gaze_sample,1687,519,,,grid_frame,,,,,,0
20260119_222033,1,80516856,memorization,gaze_sample,1693,513,,,grid_frame,,,,,,0
20260119_222033,1,80516931,memorization,gaze_sample,1684,586,,,grid_frame,,,,,,0
20260119_222033,1,80516984,memorization,gaze_sample,1677,607,,,card,1,2,2,D:\main\Desktop\Inzynierka\git\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\hard\hard (2).jpg,,0
20260119_222033,1,80517040,memorization,gaze_sample,1677,607,,,card,1,2,2,D:\main\Desktop\Inzynierka\git\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\hard\hard (2).jpg,,0
20260119_222033,1,80517107,memorization,gaze_sample,1652,599,,,card,1,2,2,D:\main\Desktop\Inzynierka\git\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\hard\hard (2).jpg,,0
20260119_222033,1,80517171,memorization,gaze_sample,1601,584,,,card,1,2,2,D:\main\Desktop\Inzynierka\git\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\hard\hard (2).jpg,,0
20260119_222033,1,80517234,memorization,gaze_sample,1534,563,,,card,1,2,2,D:\main\Desktop\Inzynierka\git\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\hard\hard (2).jpg,,0
20260119_222033,1,80517292,memorization,gaze_sample,1534,563,,,card,1,2,2,D:\main\Desktop\Inzynierka\git\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\hard\hard (2).jpg,,0
