session_id,game_id,timestamp_ms,phase,event_type,gaze_x,gaze_y,click_x,click_y,element_type,card_row,card_col,card_id,card_image_name,matched,game_time_ms
20260119_223829,3,81862590,memorization,phase_start,,,,,,,,,,,0
20260119_223829,3,81862673,memorization,gaze_sample,799,469,,,card,1,3,7,C:\Users\domin\OneDrive\Documents\Studia\Inzynierka\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\easy\easy (7).jpg,,0
20260119_223829,3,81862721,memorization,gaze_sample,915,512,,,card,1,3,7,C:\Users\domin\OneDrive\Documents\Studia\Inzynierka\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\easy\easy (7).jpg,,0
20260119_223829,3,81862785,memorization,gaze_sample,1017,548,,,card,1,3,7,C:\Users\domin\OneDrive\Documents\Studia\Inzynierka\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\easy\easy (7).jpg,,0
20260119_223829,3,81862845,memorization,gaze_sample,1114,541,,,card,1,3,7,C:\Users\domin\OneDrive\Documents\Studia\Inzynierka\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\easy\easy (7).jpg,,0
20260119_223829,3,81862909,memorization,gaze_sample,1213,591,,,grid_frame,,,,,,0
20260119_223829,3,81862969,memorization,gaze_sample,1213,591,,,grid_frame,,,,,,0
20260119_223829,3,81863031,memorization,gaze_sample,1122,595,,,grid_frame,,,,,,0
20260119_223829,3,81863093,memorization,gaze_sample,1022,545,,,card,1,3,7,C:\Users\domin\OneDrive\Documents\Studia\Inzynierka\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\easy\easy (7).jpg,,0
20260119_223829,3,81863156,memorization,gaze_sample,936,489,,,card,1,3,7,C:\Users\domin\OneDrive\Documents\Studia\Inzynierka\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\easy\easy (7).jpg,,0
20260119_223829,3,81863219,memorization,gaze_sample,877,478,,,card,1,3,7,C:\Users\domin\OneDrive\Documents\Studia\Inzynierka\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\easy\easy (7).jpg,,0
20260119_223829,3,81863273,memorization,gaze_sample,804,419,,,card,1,3,7,C:\Users\domin\OneDrive\Documents\Studia\Inzynierka\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\easy\easy (7).jpg,,0
20260119_223829,3,81863341,memorization,gaze_sample,832,436,,,card,1,3,7,C:\Users\domin\OneDrive\Documents\Studia\Inzynierka\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\easy\easy (7).jpg,,0
20260119_223829,3,81863403,memorization,gaze_sample,829,452,,,card,1,3,7,C:\Users\domin\OneDrive\Documents\Studia\Inzynierka\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\easy\easy (7).jpg,,0
20260119_223829,3,81863466,memorization,gaze_sample,774,465,,,grid_frame,,,,,,0
20260119_223829,3,81863524,memorization,gaze_sample,707,483,,,card,1,2,7,C:\Users\domin\OneDrive\Documents\Studia\Inzynierka\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\easy\easy (7).jpg,,0
20260119_223829,3,81863590,memorization,gaze_sample,637,510,,,card,1,2,7,C:\Users\domin\OneDrive\Documents\Studia\Inzynierka\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\easy\easy (7).jpg,,0
20260119_223829,3,81863648,memorization,gaze_sample,561,502,,,card,1,2,7,C:\Users\domin\OneDrive\Documents\Studia\Inzynierka\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\easy\easy (7).jpg,,0
20260119_223829,3,81863715,memorization,gaze_sample,537,501,,,card,1,2,7,C:\Users\domin\OneDrive\Documents\Studia\Inzynierka\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\easy\easy (7).jpg,,0
20260119_223829,3,81863779,memorization,gaze_sample,560,522,,,card,1,2,7,C:\Users\domin\OneDrive\Documents\Studia\Inzynierka\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\easy\easy (7).jpg,,0
20260119_223829,3,81863842,memorization,gaze_sample,617,550,,,card,1,2,7,C:\Users\domin\OneDrive\Documents\Studia\Inzynierka\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\easy\easy (7).jpg,,0
20260119_223829,3,81863908,memorization,gaze_sample,667,559,,,card,1,2,7,C:\Users\domin\OneDrive\Documents\Studia\Inzynierka\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\easy\easy (7).jpg,,0
20260119_223829,3,81863970,memorization,gaze_sample,801,617,,,grid_frame,,,,,,0
20260119_223829,3,81864032,memorization,gaze_sample,878,591,,,grid_frame,,,,,,0
20260119_223829,3,81864095,memorization,gaze_sample,995,572,,,card,1,3,7,C:\Users\domin\OneDrive\Documents\Studia\Inzynierka\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\easy\easy (7).jpg,,0
20260119_223829,3,81864156,memorization,gaze_sample,1100,544,,,card,1,3,7,C:\Users\domin\OneDrive\Documents\Studia\Inzynierka\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\easy\easy (7).jpg,,0
20260119_223829,3,81864217,memorization,gaze_sample,1231,518,,,card,1,4,6,C:\Users\domin\OneDrive\Documents\Studia\Inzynierka\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\easy\easy (6).jpg,,0
20260119_223829,3,81864279,memorization,gaze_sample,1253,476,,,card,1,4,6,C:\Users\domin\OneDrive\Documents\Studia\Inzynierka\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\easy\easy (6).jpg,,0
20260119_223829,3,81864345,memorization,gaze_sample,1358,502,,,card,1,4,6,C:\Users\domin\OneDrive\Documents\Studia\Inzynierka\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\easy\easy (6).jpg,,0
20260119_223829,3,81864405,memorization,gaze_sample,1331,526,,,card,1,4,6,C:\Users\domin\OneDrive\Documents\Studia\Inzynierka\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\easy\easy (6).jpg,,0
20260119_223829,3,81864465,memorization,gaze_sample,1331,526,,,card,1,4,6,C:\Users\domin\OneDrive\Documents\Studia\Inzynierka\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\easy\easy (6).jpg,,0
