ms,x_gaze,y_gaze,valid,card_id,grid_position
0,0,0,0,-1,-1
27,0,0,0,-1,-1
51,0,0,0,-1,-1
82,0,0,0,-1,-1
113,0,0,0,-1,-1
145,0,0,0,-1,-1
175,0,0,0,-1,-1
207,0,0,0,-1,-1
238,0,0,0,-1,-1
270,0,0,0,-1,-1
300,0,0,0,-1,-1
331,0,0,0,-1,-1
362,0,0,0,-1,-1
393,0,0,0,-1,-1
425,0,0,0,-1,-1
456,0,0,0,-1,-1
488,0,0,0,-1,-1
520,0,0,0,-1,-1
567,0,0,0,-1,-1
601,0,0,0,-1,-1
632,0,0,0,-1,-1
664,0,0,0,-1,-1
696,0,0,0,-1,-1
727,0,0,0,-1,-1
759,0,0,0,-1,-1
792,0,0,0,-1,-1
823,0,0,0,-1,-1
856,0,0,0,-1,-1
888,0,0,0,-1,-1
920,0,0,0,-1,-1
951,0,0,0,-1,-1
1000,0,0,0,-1,-1
1032,0,0,0,-1,-1
1064,0,0,0,-1,-1
1097,2197,412,1,-1,-1
1128,2186,416,1,-1,-1
1158,2186,416,0,-1,-1
1190,2186,416,0,-1,-1
1223,2186,416,0,-1,-1
1254,2186,416,0,-1,-1
1286,2186,416,0,-1,-1
1320,2186,416,0,-1,-1
1350,2186,416,0,-1,-1
1398,2186,416,0,-1,-1
1430,2186,416,0,-1,-1
1462,2186,416,0,-1,-1
1494,2186,416,0,-1,-1
1528,2186,416,0,-1,-1
1558,2186,416,0,-1,-1
1590,2186,416,0,-1,-1
1624,2186,416,0,-1,-1
1658,2186,416,0,-1,-1
1688,2186,416,0,-1,-1
1720,2186,416,0,-1,-1
1750,2186,416,0,-1,-1
1785,2186,416,0,-1,-1
1830,2186,416,0,-1,-1
1863,2186,416,0,-1,-1
1897,2186,416,0,-1,-1
1926,2186,416,0,-1,-1
1957,2186,416,0,-1,-1
1992,2186,416,0,-1,-1
2022,2186,416,0,-1,-1
2055,2186,416,0,-1,-1
2087,2186,416,0,-1,-1
2118,2186,416,0,-1,-1
2150,2186,416,0,-1,-1
2185,2186,416,0,-1,-1
2218,2186,416,0,-1,-1
2262,2186,416,0,-1,-1
2296,2186,416,0,-1,-1
2328,2204,416,1,-1,-1
2358,2225,420,1,-1,-1
2390,2225,420,0,-1,-1
2422,2225,420,0,-1,-1
2456,2225,420,0,-1,-1
2489,2225,420,0,-1,-1
2520,2225,420,0,-1,-1
2550,2225,420,0,-1,-1
2581,2225,420,0,-1,-1
2615,2225,420,0,-1,-1
2646,2225,420,0,-1,-1
2694,2225,420,0,-1,-1
2727,2225,420,0,-1,-1
2758,2225,420,0,-1,-1
2790,2225,420,0,-1,-1
2824,2225,420,0,-1,-1
2856,2225,420,0,-1,-1
2887,2225,420,0,-1,-1
2920,2225,420,0,-1,-1
2950,2225,420,0,-1,-1
2983,2225,420,0,-1,-1
3014,2225,420,0,-1,-1
3048,2225,420,0,-1,-1
3093,2225,420,0,-1,-1
3127,2225,420,0,-1,-1
3158,2225,420,0,-1,-1
3191,2225,420,0,-1,-1
3224,2245,437,1,-1,-1
3254,2245,437,0,-1,-1
3289,2260,449,1,-1,-1
3317,2260,449,0,-1,-1
3350,2260,449,0,-1,-1
3384,2260,449,0,-1,-1
3417,2260,449,0,-1,-1
3449,2260,449,0,-1,-1
3481,2260,449,0,-1,-1
