ms,x_gaze,y_gaze,valid,card_id_gaze,grid_position_gaze,x_click,y_click,flip,matched,card_id_click,grid_position_click
2,2260,449,0,-1,-1,-1,-1,-1,-1,-1,-1
26,2260,449,0,-1,-1,-1,-1,-1,-1,-1,-1
88,2289,465,1,-1,-1,-1,-1,-1,-1,-1,-1
131,2305,476,1,-1,-1,-1,-1,-1,-1,-1,-1
158,2310,486,1,-1,-1,-1,-1,-1,-1,-1,-1
183,2310,486,0,-1,-1,-1,-1,-1,-1,-1,-1
205,2310,486,0,-1,-1,-1,-1,-1,-1,-1,-1
228,2310,486,0,-1,-1,-1,-1,-1,-1,-1,-1
253,2310,486,0,-1,-1,-1,-1,-1,-1,-1,-1
276,2310,486,0,-1,-1,-1,-1,-1,-1,-1,-1
298,2310,486,0,-1,-1,-1,-1,-1,-1,-1,-1
321,2310,486,0,-1,-1,-1,-1,-1,-1,-1,-1
342,2305,489,1,-1,-1,-1,-1,-1,-1,-1,-1
378,2310,553,1,-1,-1,-1,-1,-1,-1,-1,-1
404,2310,553,0,-1,-1,-1,-1,-1,-1,-1,-1
429,2310,553,0,-1,-1,-1,-1,-1,-1,-1,-1
464,2310,553,0,-1,-1,-1,-1,-1,-1,-1,-1
495,2309,556,1,-1,-1,-1,-1,-1,-1,-1,-1
524,2309,556,0,-1,-1,-1,-1,-1,-1,-1,-1
556,2309,556,0,-1,-1,-1,-1,-1,-1,-1,-1
589,2309,556,0,-1,-1,-1,-1,-1,-1,-1,-1
623,2309,565,1,-1,-1,-1,-1,-1,-1,-1,-1
653,2309,565,0,-1,-1,-1,-1,-1,-1,-1,-1
683,2309,565,0,-1,-1,-1,-1,-1,-1,-1,-1
720,2270,600,1,-1,-1,-1,-1,-1,-1,-1,-1
751,2218,690,1,-1,-1,-1,-1,-1,-1,-1,-1
800,2138,729,1,-1,-1,-1,-1,-1,-1,-1,-1
833,2006,839,1,1,24,-1,-1,-1,-1,-1,-1
864,1862,938,1,1,24,-1,-1,-1,-1,-1,-1
896,1833,975,1,1,24,-1,-1,-1,-1,-1,-1
927,1806,981,1,1,24,-1,-1,-1,-1,-1,-1
960,1826,967,1,1,24,-1,-1,-1,-1,-1,-1
